character,comic_title,format,date,event
Adam Warlock,Warlock Chronicles (1993) #4,Comic,1993-10-01 00:00:00+00:00,None
Adam Warlock,Infinity Crusade (1993) #5,Comic,1993-10-01 00:00:00+00:00,None
Adam Warlock,Warlock Chronicles (1993) #3,Comic,1993-09-10 00:00:00+00:00,None
Adam Warlock,Infinity Crusade (1993) #4,Comic,1993-09-01 00:00:00+00:00,None
Adam Warlock,Warlock Chronicles (1993) #2,Comic,1993-08-01 00:00:00+00:00,None
Adam Warlock,Infinity Crusade (1993) #3,Comic,1993-08-01 00:00:00+00:00,None
Adam Warlock,Warlock Chronicles (1993) #1,Comic,1993-07-01 00:00:00+00:00,None
Adam Warlock,Infinity Crusade (1993) #2,Comic,1993-07-01 00:00:00+00:00,None
Adam Warlock,Infinity Crusade (1993) #1,Comic,1993-06-01 00:00:00+00:00,None
Adam Warlock,Silver Surfer/Warlock: Resurrection (1993) #4,Comic,1993-06-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #16,Comic,1993-05-10 00:00:00+00:00,None
Adam Warlock,Silver Surfer/Warlock: Resurrection (1993) #3,Comic,1993-05-01 00:00:00+00:00,None
Adam Warlock,Silver Surfer/Warlock: Resurrection (1993) #2,Comic,1993-04-01 00:00:00+00:00,None
Adam Warlock,Silver Surfer/Warlock: Resurrection (1993) #1,Comic,1993-03-01 00:00:00+00:00,None
Adam Warlock,Fantastic Four (1961) #370,Comic,1992-11-01 00:00:00+00:00,Infinity War
Adam Warlock,Infinity War (1992) #6,Comic,1992-11-01 00:00:00+00:00,Infinity War
Adam Warlock,Infinity War (1992) #5,Comic,1992-10-01 00:00:00+00:00,Infinity War
Adam Warlock,Spider-Man (1990) #26,Comic,1992-09-01 00:00:00+00:00,None
Adam Warlock,Infinity War (1992) #4,Comic,1992-09-01 00:00:00+00:00,Infinity War
Adam Warlock,Infinity War (1992) #3,Comic,1992-08-01 00:00:00+00:00,Infinity War
Adam Warlock,Warlock and the Infinity Watch (1992) #6,Comic,1992-07-10 00:00:00+00:00,None
Adam Warlock,Infinity War (1992) #2,Comic,1992-07-01 00:00:00+00:00,Infinity War
Adam Warlock,Infinity War (1992) #1,Comic,1992-06-01 00:00:00+00:00,Infinity War
Adam Warlock,Warlock and the Infinity Watch (1992) #4,Comic,1992-05-10 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #3,Comic,1992-04-10 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #1,Comic,1992-02-10 00:00:00+00:00,None
Adam Warlock,What If? (1989) #34,Comic,1992-02-01 00:00:00+00:00,None
Adam Warlock,Marvel Super Heroes (1990) #8,Comic,1992-01-01 00:00:00+00:00,None
